er,time
"1,117.71",2017-04-28
"1,118.20",2017-04-27
"1,115.23",2017-04-26
"1,122.95",2017-04-25
"1,118",2017-04-24
,2017-04-23
,2017-04-22
"1,127.32",2017-04-21
"1,131.77",2017-04-20
"1,128.01",2017-04-19
"1,122.47",2017-04-18
"1,123.06",2017-04-17
,2017-04-16
,2017-04-15
"1,126.03",2017-04-14
"1,123.65",2017-04-13
"1,137.12",2017-04-12
"1,129.50",2017-04-11
"1,129",2017-04-10
,2017-04-09
,2017-04-08
"1,119.69",2017-04-07
"1,115.44",2017-04-06
"1,112.67",2017-04-05
"1,106.73",2017-04-04
"1,102.27",2017-04-03
,2017-04-02
,2017-04-01
"1,108.31",2017-03-31
"1,102.07",2017-03-30
"1,103.76",2017-03-29
"1,101.78",2017-03-28
"1,102.86",2017-03-27
,2017-03-26
,2017-03-25
"1,110.29",2017-03-24
"1,107.62",2017-03-23
"1,112.17",2017-03-22
"1,104.55",2017-03-21
"1,117.81",2017-03-20
,2017-03-19
,2017-03-18
"1,118.51",2017-03-17
"1,118.61",2017-03-16
"1,136.62",2017-03-15
"1,136.03",2017-03-14
"1,137.91",2017-03-13
,2017-03-12
,2017-03-11
"1,148.21",2017-03-10
"1,144.05",2017-03-09
"1,137.32",2017-03-08
"1,143.55",2017-03-07
"1,143.45",2017-03-06
,2017-03-05
,2017-03-04
"1,136.23",2017-03-03
"1,130.88",2017-03-02
,2017-03-01
"1,122.96",2017-02-28
"1,122.27",2017-02-27
,2017-02-26
,2017-02-25
"1,121.77",2017-02-24
"1,129.89",2017-02-23
"1,128.80",2017-02-22
"1,137.42",2017-02-21
"1,138.21",2017-02-20
,2017-02-19
,2017-02-18
"1,135.24",2017-02-17
"1,124.15",2017-02-16
"1,130.39",2017-02-15
"1,137.51",2017-02-14
"1,141.97",2017-02-13
,2017-02-12
,2017-02-11
"1,141.87",2017-02-10
"1,134.74",2017-02-09
"1,134.84",2017-02-08
"1,126.62",2017-02-07
"1,126.72",2017-02-06
,2017-02-05
,2017-02-04
"1,135.53",2017-02-03
"1,140.19",2017-02-02
"1,141.87",2017-02-01
"1,157.22",2017-01-31
,2017-01-30
,2017-01-29
,2017-01-28
,2017-01-27
"1,145.83",2017-01-26
"1,155.63",2017-01-25
"1,151.37",2017-01-24
"1,156.42",2017-01-23
,2017-01-22
,2017-01-21
"1,164.54",2017-01-20
"1,166.13",2017-01-19
"1,152.17",2017-01-18
"1,173.55",2017-01-17
"1,166.52",2017-01-16
,2017-01-15
,2017-01-14
"1,166.82",2017-01-13
"1,171.87",2017-01-12
"1,187.61",2017-01-11
"1,189.09",2017-01-10
"1,192.16",2017-01-09
,2017-01-08
,2017-01-07
"1,173.85",2017-01-06
"1,180.88",2017-01-05
"1,194.93",2017-01-04
"1,197.61",2017-01-03
"1,195.23",2017-01-02
,2017-01-01
,2016-12-31
"1,197.01",2016-12-30
"1,197.01",2016-12-29
"1,194.74",2016-12-28
"1,191.47",2016-12-27
"1,188.60",2016-12-26
,2016-12-25
,2016-12-24
"1,190.78",2016-12-23
"1,182.56",2016-12-22
"1,182.46",2016-12-21
"1,176.72",2016-12-20
"1,173.95",2016-12-19
,2016-12-18
