기간,Dubai,Brent,WTI
10년12월27일,-,93.85,91.00
10년12월28일,90.62,94.38,91.49
10년12월29일,90.56,94.14,91.12
10년12월30일,90.35,93.09,89.84
10년12월31일,88.80,94.75,91.38
11년01월03일,-,94.84,91.55
11년01월04일,91.59,93.53,89.38
11년01월05일,89.70,95.50,90.30
11년01월06일,92.00,94.52,88.38
11년01월07일,90.35,93.33,88.03
11년01월10일,90.32,95.70,89.25
11년01월11일,91.82,97.61,91.11
11년01월12일,94.23,98.12,91.86
11년01월13일,93.85,98.06,91.40
11년01월14일,93.23,98.68,91.54
11년01월17일,93.01,97.43,-
11년01월18일,93.29,97.80,91.38
11년01월19일,93.46,98.16,90.86
11년01월20일,93.17,96.58,88.86
11년01월21일,92.53,97.60,89.11
11년01월24일,93.21,96.61,87.87
11년01월25일,92.01,95.25,86.19
11년01월26일,91.90,97.91,87.33
11년01월27일,93.33,97.39,85.64
11년01월28일,93.44,99.42,89.34
11년01월31일,94.57,101.01,92.19
11년02월01일,95.71,101.74,90.77
11년02월02일,97.11,102.34,90.86
11년02월03일,-,101.76,90.54
11년02월04일,-,99.83,89.03
11년02월07일,96.06,99.25,87.48
11년02월08일,96.07,99.92,86.94
11년02월09일,96.83,101.82,86.71
11년02월10일,97.92,100.87,86.73
11년02월11일,97.94,101.43,85.58
11년02월14일,97.23,103.08,84.81
11년02월15일,99.29,101.64,84.32
11년02월16일,98.03,103.78,84.99
11년02월17일,99.56,102.59,86.36
11년02월18일,98.96,102.52,86.20
11년02월21일,100.36,105.74,-
11년02월22일,103.72,105.78,93.57
11년02월23일,104.33,111.25,98.10
11년02월24일,110.77,111.36,97.28
11년02월25일,107.00,112.14,97.88
11년02월28일,107.41,111.80,96.97
11년03월01일,106.44,115.42,99.63
11년03월02일,109.04,116.35,102.23
11년03월03일,109.82,114.79,101.91
11년03월04일,110.65,115.97,104.42
11년03월07일,111.18,115.04,105.44
11년03월08일,109.09,113.06,105.02
11년03월09일,108.45,115.94,104.38
11년03월10일,110.55,115.43,102.70
11년03월11일,108.30,113.84,101.16
11년03월14일,105.97,113.67,101.19
